model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_10_inact,0,Binding_on,Log10,10,1,2
scheme_10_inact,1,Binding_off,Log10,100,2,2
scheme_10_inact,2,Rocking_on,Log10,100,2,2
scheme_10_inact,3,Rocking_off,Log10,100,2,2
scheme_10_inact,4,RB,Log10,100,2,2
scheme_10_inact,5,RB_0,Log10,1,0,2
scheme_10_inact,6,RB_1,Log10,1,0,2
scheme_10_inact,7,BR,Log10,10,1,2
scheme_10_inact,8,BR_0,Log10,1,0,2
scheme_10_inact,9,BR_1,Log10,1,0,2
scheme_10_inact,10,Rocking_Current_factor,Log10,100,2,2
scheme_10_inact,11,Leakeage_current_ratio,Log10,9.99999999999999955e-07,-6,2
scheme_10_inact,12,Gating_Current,Log10,1,0,2
scheme_10_inact,13,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_10_inact,14,Pink_Noise,Log10,5.00000000000000089,0.698970004336018857,2
scheme_10_inact,15,Proportional_Noise,Log10,0.0100000000000000002,-2,2
scheme_10_inact,16,Current_Baseline,Linear,1,1,2
scheme_10_inact,17,Num_ch,Log10,4799.99999999999909,3.68124123737558717,2
scheme_10_inact,18,inactivation_rate,Log10,3.0e-4,-3.52287874528033740,2
