model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_4,0,kon_0,Log10,15.98,1.203576774977973
scheme_4,1,koff_0,Log10,0.019,-1.721246399047171
scheme_4,2,kon_1,Log10,16.3,1.212187604403958
scheme_4,3,koff_1,Log10,380,2.57978359661681
scheme_4,4,kon_2,Log10,11.6,1.064457989226919
scheme_4,5,koff_2,Log10,6822,3.833911715071379
scheme_4,6,flipping_on,Log10,3718,3.57030938543588
scheme_4,7,flipping_off,Log10,43.54,1.638888424705075
scheme_4,8,gating_on_0,Log10,540,2.732393759822969
scheme_4,9,gating_off_0,Log10,1088,3.036628895362161
scheme_4,10,gating_on_1,Log10,0.033,-1.481486060122112
scheme_4,11,gating_off_1,Log10,0.246,-0.6090648928966209
scheme_4,12,desensitization_on_0,Log10,31.16,1.493597449000527
scheme_4,13,desensitization_off_0,Log10,79,1.897627091290441
scheme_4,14,desensitization_on_1,Log10,4.53,0.6560982020128319
scheme_4,15,unitary_current,Log10,1,0
scheme_4,16,Current_Noise,Log10,0.001,-3
scheme_4,17,Pink_Noise,Log10,5,0.6989700043360189
scheme_4,18,Proportional_Noise,Fixed,0,0
scheme_4,19,Current_Baseline,Log10,1,0
scheme_4,20,Num_ch_mean,Log10,5000,3.698970004336019
