model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_15,0,Binding_on,Log10,10,1,2
scheme_15,1,Binding_off,Log10,100,2,2
scheme_15,2,Rocking_on,Log10,100,2,2
scheme_15,3,Rocking_off,Log10,100,2,2
scheme_15,4,Gating_on,Log10,100,2,2
scheme_15,5,Gating_off,Log10,100,2,2
scheme_15,6,RB,Log10,100,2,2
scheme_15,7,RB_0,Log10,10,1,2
scheme_15,8,RB_1,Log10,10,1,2
scheme_15,9,BR,Log10,10,1,2
scheme_15,10,BR_0,Log10,1,0,2
scheme_15,11,BR_1,Log10,1,0,2
scheme_15,12,RBR,Log10,1,0,2
scheme_15,13,RBR_0,Log10,1,0,2
scheme_15,14,RBR_1,Log10,1,0,2
scheme_15,15,RBR_2,Log10,1,0,2
scheme_15,16,RG,Log10,100,2,2
scheme_15,17,RG_0,Log10,10,1,2
scheme_15,18,RG_1,Log10,10,1,2
scheme_15,19,Gating_Current,Log10,1,0,2
scheme_15,20,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_15,21,Pink_Noise,Fixed,0,0,0
scheme_15,22,Proportional_Noise,Fixed,0,0,0
scheme_15,23,Current_Baseline,Linear,1,1,2
scheme_15,24,Num_ch,Log10,4799.99999999999909,3.68124123737558717,2
